中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,56 ms,400 Mbps,51200 kB/s
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,54 ms,456 Mbps,58470 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,50 ms,345 Mbps,44236 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,127 ms,155 Mbps,19865 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,126 ms,196 Mbps,25190 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,118 ms,164 Mbps,20992 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26a:42,US,Los Angeles,隧道,55 ms,63 Mbps,8152 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,43 ms,567 Mbps,72601 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,67 ms,471 Mbps,60313 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,572 Mbps,73216 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,48 ms,404 Mbps,51814 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,58 ms,520 Mbps,66560 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,74 ms,588 Mbps,75366 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,127 ms,48 Mbps,6184 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,137 ms,180 Mbps,23040 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,134 ms,222 Mbps,28467 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,44 ms,496 Mbps,63590 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,65 ms,493 Mbps,63180 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,70 ms,231 Mbps,29593 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,161 ms,45 Mbps,5857 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,142 ms,44 Mbps,5729 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,194 ms,3 Mbps,407 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,146 ms,169 Mbps,21708 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,61 ms,49 Mbps,6352 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,53 ms,47 Mbps,6062 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,177 ms,141 Mbps,18124 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,193 ms,37 Mbps,4785 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,59 ms,57 Mbps,7305 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,50 ms,582 Mbps,74547 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,223 ms,12 Mbps,1538 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,192 ms,102 Mbps,13107 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,201 ms,3 Mbps,480 kB/s
168.138.149.17,443,168.138.149.17,BR,S
