中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,608 Mbps,77926 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,3 ms,95 Mbps,12185 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,1 ms,1472 Mbps,188416 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,2 ms,67 Mbps,8691 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:b4,US,Los Angeles,隧道,63 ms,88 Mbps,11264 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,2 ms,1576 Mbps,201728 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,84 ms,219 Mbps,28057 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,13 ms,794 Mbps,101683 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,208 Mbps,26624 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,241 Mbps,30924 kB/s
35.197.23.75,443,35.212.193.165,US,Seattle,隧道,73 ms,193 Mbps,24780 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,66 ms,211 Mbps,27033 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,258 Mbps,33075 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,85 ms,43 Mbps,5522 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,94 ms,336 Mbps,43008 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,109 ms,47 Mbps,6098 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,278 Mbps,35635 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,102 ms,48 Mbps,6240 kB/s
35.230.79.26,443,35.212.193.165,US,Seattle,隧道,103 ms,339 Mbps,43417 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,81 ms,50 Mbps,6446 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,94 ms,46 Mbps,5999 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,65 ms,365 Mbps,46796 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,109 ms,232 Mbps,29696 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,104 ms,48 Mbps,6233 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,124 ms,292 Mbps,37376 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,71 Mbps,9161 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,45 Mbps,5809 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,84 ms,48 Mbps,6232 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,168 ms,95 Mbps,12185 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,176 ms,41 Mbps,5311 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,11 Mbps,1461 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,180 ms,37 Mbps,4786 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,180 ms,3 Mbps,396 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,205 ms,31 Mbps,3995 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,207 ms,107 Mbps,13721 kB/s
130.162.144.191,443,2a09:bac1:3f20::22:11c,KR,Seoul,隧道,203 ms,38 Mbps,4986 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,214 ms,39 Mbps,5052 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,224 ms,32 Mbps,4156 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,238 ms,26 Mbps,3330 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,224 ms,2 Mbps,264 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,196 ms,87 Mbps,11161 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,228 ms,3 Mbps,500 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,570 ms,14 Mbps,1795 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,210 ms,7 Mbps,945 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,192 ms,26 Mbps,3339 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,321 ms,0 Mbps,10 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,0 ms,2 Mbps,349 kB/s
