中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,754 Mbps,96563 kB/s,96563.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,440 Mbps,56422 kB/s,56422.0
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,70 ms,428 Mbps,54784 kB/s,54784.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,75 ms,386 Mbps,49459 kB/s,49459.0
35.197.23.75,443,35.212.208.156,US,Seattle,隧道,68 ms,366 Mbps,46899 kB/s,46899.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,58 ms,362 Mbps,46387 kB/s,46387.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,59 ms,357 Mbps,45772 kB/s,45772.0
34.82.76.253,443,34.187.190.53,US,Seattle,隧道,71 ms,329 Mbps,42188 kB/s,42188.0
35.230.79.26,443,35.212.208.156,US,Seattle,隧道,70 ms,312 Mbps,40038 kB/s,40038.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,282 Mbps,36147 kB/s,36147.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,66 ms,276 Mbps,35430 kB/s,35430.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,242 Mbps,31027 kB/s,31027.0
158.178.149.159,443,2606:f240:f00:eaf1:0:edc9:7559:d46d,US,Frankfurt,隧道,91 ms,240 Mbps,30720 kB/s,30720.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,65 ms,235 Mbps,30105 kB/s,30105.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,231 Mbps,29593 kB/s,29593.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,114 ms,164 Mbps,21094 kB/s,21094.0
158.101.201.244,443,2606:f240:f00:46c4:0:2458:ce68:bb51,US,Frankfurt,隧道,104 ms,119 Mbps,15257 kB/s,15257.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,170 ms,109 Mbps,14028 kB/s,14028.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,259 ms,60 Mbps,7733 kB/s,7733.0
8.219.203.101,443,47.236.1.53,SG,Singapore,隧道,240 ms,59 Mbps,7667 kB/s,7667.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,93 ms,46 Mbps,5946 kB/s,5946.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,92 ms,46 Mbps,5923 kB/s,5923.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,99 ms,46 Mbps,5896 kB/s,5896.0
168.138.46.67,443,168.138.46.67,JP,Singapore,中转,173 ms,42 Mbps,5440 kB/s,5440.0
168.138.165.174,443,168.138.165.174,SG,Milan,中转,240 ms,37 Mbps,4812 kB/s,4812.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,222 ms,36 Mbps,4628 kB/s,4628.0
64.110.104.30,443,64.110.104.30,JP,Los Angeles,中转,180 ms,35 Mbps,4552 kB/s,4552.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,198 ms,34 Mbps,4354 kB/s,4354.0
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,165 ms,32 Mbps,4184 kB/s,4184.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,204 ms,30 Mbps,3858 kB/s,3858.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,7 ms,27 Mbps,3548 kB/s,3548.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,963 kB/s,963.0
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,231 ms,6 Mbps,820 kB/s,820.0
