中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Portland,中转,105 ms,247 Mbps,31641 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,99 ms,364 Mbps,46694 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,567 Mbps,72601 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,434 Mbps,55603 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,72 Mbps,9217 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,10 Mbps,1291 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,255 Mbps,32665 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,2 ms,1 Mbps,176 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,71 ms,350 Mbps,44851 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,97 ms,112 Mbps,14438 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,73 ms,312 Mbps,40038 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,99 ms,220 Mbps,28262 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,92 ms,46 Mbps,5960 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,14 ms,872 Mbps,111616 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,1 ms,83 Mbps,10649 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,80 ms,350 Mbps,44851 kB/s
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,90 ms,372 Mbps,47616 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,281 Mbps,36044 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,92 ms,25 Mbps,3299 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,227 Mbps,29081 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,83 ms,279 Mbps,35737 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,62 ms,51 Mbps,6617 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,95 ms,45 Mbps,5797 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,107 ms,240 Mbps,30822 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,94 ms,44 Mbps,5679 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,99 ms,44 Mbps,5734 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,86 ms,231 Mbps,29593 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,78 ms,343 Mbps,43929 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,87 ms,176 Mbps,22630 kB/s
158.101.221.74,443,163.123.193.6,DE,Frankfurt,隧道,101 ms,264 Mbps,33792 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,San Jose,隧道,77 ms,44 Mbps,5653 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,101 ms,346 Mbps,44339 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,183 ms,123 Mbps,15769 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,103 ms,42 Mbps,5416 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,49 Mbps,6317 kB/s
193.123.38.223,443,98.98.166.174,US,Frankfurt,隧道,91 ms,276 Mbps,35328 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,101 ms,49 Mbps,6299 kB/s
130.61.23.77,443,130.61.23.77,70 Mbps,9033 kB/s
168.138.149.17,443,168.138.149.17,BR,S
