中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,337 Mbps,43212 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,1 ms,1344 Mbps,172032 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::c:3b1,US,Los Angeles,隧道,46 ms,94 Mbps,12083 kB/s
35.197.23.75,443,35.212.143.193,US,Seattle,隧道,25 ms,928 Mbps,118784 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,35 ms,678 Mbps,86835 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,26 ms,912 Mbps,116736 kB/s
35.230.79.26,443,35.212.143.193,US,Seattle,隧道,25 ms,928 Mbps,118784 kB/s
34.82.76.253,443,34.168.189.228,US,Seattle,隧道,40 ms,912 Mbps,116736 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,659 Mbps,84377 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,361 Mbps,46284 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,65 ms,340 Mbps,43520 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,89 ms,314 Mbps,40243 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,32 ms,120 Mbps,15462 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,200 Mbps,25702 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,67 ms,46 Mbps,5977 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,79 ms,48 Mbps,6262 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,67 ms,403 Mbps,51609 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Los Angeles,隧道,115 ms,176 Mbps,22528 kB/s
152.70.52.84,443,2a0b:21c0:1007:ca:0:6f39:7631:b85,DE,Frankfurt,隧道,152 ms,104 Mbps,13312 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,124 ms,42 Mbps,5396 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,131 ms,36 Mbps,4698 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,119 ms,130 Mbps,16691 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,149 ms,19 Mbps,2546 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:114,KR,Seoul,隧道,138 ms,116 Mbps,14848 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,165 ms,135 Mbps,17305 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,143 ms,161 Mbps,20684 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,156 ms,84 Mbps,10752 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,170 ms,49 Mbps,6331 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,163 ms,47 Mbps,6059 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,156 ms,132 Mbps,16998 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,164 ms,181 Mbps,23244 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,161 ms,41 Mbps,5350 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,179 ms,3 Mbps,427 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,173 ms,114 Mbps,14643 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,181 ms,45 Mbps,5859 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,158 ms,44 Mbps,5728 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,147 ms,42 Mbps,5431 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,158 ms,43 Mbps,5592 kB/s
130.162.144.191,443,2a09:bac1:3f60::299:1b,KR,Seoul,隧道,134 ms,36 Mbps,4647 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,188 ms,83 Mbps,10649 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,157 ms,0 Mbps,124 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,223 ms,9 Mbps,1234 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,227 ms,66 Mbps,8483 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,179 ms,3 Mbps,510 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,1113 ms,42 Mbps,5406 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,281 ms,26 Mbps,3344 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,328 ms,0 Mbps,16 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,133 ms,15 Mbps,1974 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,0 ms,1 Mbps,130 kB/s
