中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,15 ms,572 Mbps,73216 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,345 Mbps,44236 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,68 ms,400 Mbps,51302 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,292 Mbps,37376 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,69 ms,389 Mbps,49868 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,241 Mbps,30924 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,234 Mbps,30003 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,48 Mbps,6199 kB/s
129.146.46.164,443,129.146.46.164,US,Phoenix,中转,84 ms,157 Mbps,20172 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,290 Mbps,37171 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,65 ms,273 Mbps,35020 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,69 ms,177 Mbps,22732 kB/s
184.169.181.217,443,184.169.181.217,US,Miami,中转,68 ms,376 Mbps,48230 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,100 ms,46 Mbps,6009 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,97 ms,47 Mbps,6069 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,38 Mbps,4983 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,177 ms,37 Mbps,4842 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,180 ms,58 Mbps,7551 kB/s
3.112.21.102,443,3.112.21.102,JP,Hong Kong,中转,165 ms,124 Mbps,15872 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,227 ms,38 Mbps,4957 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,216 ms,41 Mbps,5249 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,215 ms,42 Mbps,5440 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,234 ms,30 Mbps,3893 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,254 ms,1 Mbps,237 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,99 ms,0 Mbps,51 kB/s
