中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
35.202.158.120,443,35.202.158.120,US,Chicago,中转,58 ms,643 Mbps,82329 kB/s,82329.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,37 ms,570 Mbps,73011 kB/s,73011.0
3.144.191.4,443,3.144.191.4,US,Chicago,中转,35 ms,568 Mbps,72806 kB/s,72806.0
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,84 ms,479 Mbps,61337 kB/s,61337.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,85 ms,457 Mbps,58572 kB/s,58572.0
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,114 ms,450 Mbps,57651 kB/s,57651.0
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,141 ms,421 Mbps,53964 kB/s,53964.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,92 ms,414 Mbps,53043 kB/s,53043.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,82 ms,395 Mbps,50585 kB/s,50585.0
152.67.251.232,443,152.67.251.232,US,San Jose,中转,102 ms,393 Mbps,50380 kB/s,50380.0
35.197.23.75,443,35.212.201.120,US,Seattle,隧道,96 ms,322 Mbps,41267 kB/s,41267.0
35.230.79.26,443,35.212.201.120,US,Seattle,隧道,96 ms,320 Mbps,41062 kB/s,41062.0
34.82.76.253,443,34.127.99.199,US,Seattle,隧道,85 ms,303 Mbps,38809 kB/s,38809.0
192.18.130.65,443,192.18.130.65,US,San Jose,中转,102 ms,294 Mbps,37683 kB/s,37683.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,277 Mbps,35532 kB/s,35532.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,115 ms,264 Mbps,33792 kB/s,33792.0
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,95 ms,264 Mbps,33792 kB/s,33792.0
129.159.241.239,443,2606:f240:f00:46c4:0:e836:4c94:6f34,US,Frankfurt,隧道,107 ms,263 Mbps,33689 kB/s,33689.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,101 ms,262 Mbps,33587 kB/s,33587.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,93 ms,256 Mbps,32870 kB/s,32870.0
141.148.239.240,443,2a0b:21c0:1007:cb:0:ea41:a31b:2090,DE,Frankfurt,隧道,126 ms,253 Mbps,32460 kB/s,32460.0
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,121 ms,252 Mbps,32256 kB/s,32256.0
141.144.199.182,443,2a0b:21c0:100a:1fa:0:5580:63:4f23,DE,Frankfurt,隧道,116 ms,241 Mbps,30924 kB/s,30924.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,102 ms,240 Mbps,30822 kB/s,30822.0
144.24.162.187,443,2a0b:21c0:1007:1ca:0:9a7a:f3df:aae4,DE,Frankfurt,隧道,127 ms,235 Mbps,30105 kB/s,30105.0
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,110 ms,235 Mbps,30105 kB/s,30105.0
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,121 ms,232 Mbps,29696 kB/s,29696.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,115 ms,229 Mbps,29388 kB/s,29388.0
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,152 ms,228 Mbps,29286 kB/s,29286.0
158.101.210.198,443,2a0b:21c0:1007:1cb:0:21ec:e348:76c2,DE,Frankfurt,隧道,111 ms,228 Mbps,29184 kB/s,29184.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,106 ms,216 Mbps,27750 kB/s,27750.0
141.148.245.183,443,2606:f240:f00:5a42:0:f2c3:8744:d494,US,Frankfurt,隧道,123 ms,193 Mbps,24780 kB/s,24780.0
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,97 ms,186 Mbps,23859 kB/s,23859.0
152.70.214.15,443,2603:c021:c000:ba8c:5a47:c0e5:b682:31cb,BR,São Paulo,隧道,174 ms,158 Mbps,20275 kB/s,20275.0
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,133 ms,158 Mbps,20275 kB/s,20275.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,11 ms,152 Mbps,19456 kB/s,19456.0
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,134 ms,151 Mbps,19353 kB/s,19353.0
158.101.206.253,443,2a0b:21c0:1007:1ca:0:1cba:e1c8:345b,DE,Frankfurt,隧道,158 ms,134 Mbps,17203 kB/s,17203.0
158.101.211.165,443,98.98.166.186,US,Frankfurt,隧道,113 ms,130 Mbps,16691 kB/s,16691.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,120 Mbps,15360 kB/s,15360.0
47.88.15.127,443,47.88.15.127,US,San Jose,中转,70 ms,120 Mbps,15360 kB/s,15360.0
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,11 ms,117 Mbps,15052 kB/s,15052.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,222 ms,100 Mbps,12800 kB/s,12800.0
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,83 ms,99 Mbps,12697 kB/s,12697.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,112 ms,98 Mbps,12595 kB/s,12595.0
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,211 ms,97 Mbps,12492 kB/s,12492.0
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,218 ms,88 Mbps,11366 kB/s,11366.0
158.180.82.186,443,158.180.82.186,KR,Los Angeles,中转,221 ms,88 Mbps,11366 kB/s,11366.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,228 ms,86 Mbps,11059 kB/s,11059.0
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,227 ms,84 Mbps,10752 kB/s,10752.0
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,274 ms,83 Mbps,10649 kB/s,10649.0
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,143 ms,82 Mbps,10547 kB/s,10547.0
8.212.44.95,443,47.76.21.103,HK,Hong Kong,隧道,245 ms,82 Mbps,10547 kB/s,10547.0
8.212.48.236,443,47.76.21.105,HK,Hong Kong,隧道,247 ms,81 Mbps,10444 kB/s,10444.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,252 ms,80 Mbps,10342 kB/s,10342.0
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,106 ms,80 Mbps,10342 kB/s,10342.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,219 ms,78 Mbps,9989 kB/s,9989.0
